STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/17/2014,,64,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/18/2014,,69,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/19/2014,,72,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/20/2014,,64,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/21/2014,,61,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/22/2014,,62,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/23/2014,,60,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/24/2014,,63,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/25/2014,,60,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/26/2014,,59,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/27/2014,,63,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/28/2014,,67,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/29/2014,,59,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/30/2014,,59,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/31/2014,,56,47
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/1/2014,,57,46
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/2/2014,,59,46
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/3/2014,,60,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/4/2014,,58,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/5/2014,,61,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/6/2014,,71,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/7/2014,,80,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/8/2014,,75,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/9/2014,,59,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/10/2014,,68,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/11/2014,,60,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/12/2014,,61,53
